Title,Company,Location,Skills,Salary,Description,Apply Link
Now Hiring Roadie/Event Assistant,3 West Productions,"3 West ProductionsLancaster, PA",Not listed,$200 a day,Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DvbsuIVMfVECBZWl3-NrdTzz1iKxVXDbKQVs-DkFXSog3ox_yWS48R-DxVxotbIt7AA1i6oEBATL5BB6vSDXI0ycxUgEmZeQE7GHG-DijaNYVTC4cgdMSQiKUWN1ba0m6dHZa-at8NAaj3ZeSdw-paZONPETKfworqcQZFQe-VFjr43EwdtuHjVVql2Mw36_ET6xiYVu98mXsohrU_SppXZXFbsSWvCTMMlhQ7e0XsrwppIFbgrcaptUgKyUC0bJmsGFliXA5IqVQt2O5J4ecjUGI16saye36kBhoWXugBmGfxmQuKWfkr3a0AYy_h91RguqqDrvhxBnjd3DVNXiF-lSAftUmTZORElBl01X4FnJQSWd36W5zJG5X-EykT66YNJTJ8wWrOpHzlaXPUbIZjrmWv5itCwiYFuNs1VFnVWyMJwz9os3DaKz6MtKKtEb2Y1gk4cQPS9esxEbMrsvNcHWoPCeXuvDWPzxMIKGm6mxHC3Ay4zq77hGM7Og0JdqaaWfnx2CXL-I2BWK-BbXOfHlH4GusNoC61A4P0r26X8jGQ3eVS-hl1gKJ9wAG3j0fzivZhTto_8_lfxLdqvkackVcPdtitbvSeUeGeKO769dve_nPkMGtp&xkcb=SoDd6_M3E7y87vSsKB0BbzkdCdPP&camk=4HOcmqOLYrBkZQ2rM5OM2Q==&p=10&fvj=1&vjs=3
"Coordinator, Social Media (Tik Tok) - Temporary",National Hockey League (NHL),"National Hockey League (NHL)New York, NY",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=52cece1e89738ac6&bb=tUTtLuNxgyMexxqgBXC7-nJVNpG_YqMCk2a_lRTfhm9gO5-5D-tIJik-qUiaoxHLD6OJIBiF4wKhjgBIeUH4V-AUPCrO5V6E7ms5Zapgn_s%3D&xkcb=SoCd67M3E7y87vSsKB0AbzkdCdPP&fccid=9636c525266d3ed0&vjs=3
Social Media Manager,Foodinis catering,Foodinis cateringRemote in New Jersey,Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=3390fe443892ad15&bb=tUTtLuNxgyMexxqgBXC7-lolcBUupeNYK-VPImGzgrv2TSkvy3rPWjNZUg-ofeBTkTH1UzzZU6RjjCNrhmnVIMUpCzkpnCGOqglxpiDG3rM%3D&xkcb=SoAT67M3E7y87vSsKB0HbzkdCdPP&fccid=397ef97bdcc305e5&cmp=Foodini%2527s-catering&ti=Social+Media+Manager&vjs=3
Social Media Influencer,Why Main Street,Why Main StreetRemote,Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=9cd87649961ca77b&bb=tUTtLuNxgyMexxqgBXC7-piLzgUR_9Ip23N6fi06_3_JDD3reDQYpjbE342Pn0cqcmcy99fqG1a6qb9Nkbh3d3684DHTEx10uM9V24ag3vs%3D&xkcb=SoCn67M3E7y87vSsKB0GbzkdCdPP&fccid=83bdca5418063030&cmp=Why-Main-Street&ti=Social+Media+Specialist&vjs=3
"Specialist, Social Media and Influencer Strategy",Chanel,"ChanelHybrid remote in New York, NY",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=2c2ed5a45c180519&bb=tUTtLuNxgyMexxqgBXC7-mI-Q5D2HY-uwEG8DEm-UZSNTzACWEMV4DaQrk_96B0B15Lwggp1a-BvkiKz7LvSIwRAem92aaOBZNriVAQ0wgM%3D&xkcb=SoA667M3E7y87vSsKB0FbzkdCdPP&fccid=99a9c7df17db8fc8&vjs=3
Social Media Coordinator,Associated Mortgage Brokers,"Associated Mortgage BrokersPortland, OR",Not listed,$20 - $30 an hour,Not listed,https://www.indeed.com/rc/clk?jk=fc112b4fdbc10c17&bb=dEP6YqtiHuzSBbMT3JHag0Hr-1_cCT2wvbZPm08RIZ9qx8BzXqbS3_JVwnOWKFCb2qEaTalmY_e8Pnc8XSuW6XILQQbbENycgkgC1IPEwsE%3D&xkcb=SoBg67M3E7y8tTRNCZ0LbzkdCdPP&fccid=9d98ff7e78f1e09d&cmp=Associated-Mortgage-Brokers&ti=Social+Media+Coordinator&vjs=3
Social Media Apprentice,"Houston Astros, LLC","Houston Astros, LLCHouston, TX 77002 (Downtown area)",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=aaa1eec41ac1230e&bb=dEP6YqtiHuzSBbMT3JHag0YVJg9n4IKj61b8L5bfpd0NuMjqb6zzlNXrPr1q-tQeobzmaeuX1tCnXvjUvKidterRRjmpTXxi3mujBiWCgoQ%3D&xkcb=SoDU67M3E7y8tTRNCZ0KbzkdCdPP&fccid=65aaa52f5757e1b4&vjs=3
Board Operator,Marathon Petroleum Company LP,"Marathon Petroleum Company LPCarthage, TX 75633",Not listed,Full-time,Not listed,https://www.indeed.com/rc/clk?jk=4ec19f006ef1391f&bb=dEP6YqtiHuzSBbMT3JHagylo-1WaDiviKpUCQJ1mqzPFqZizPBy5PjHgcs8qhx-gldyLB1CyBeI4g4TRzutQI2pAZkpHQgVx851MCpGAL_k%3D&xkcb=SoBJ67M3E7y8tTRNCZ0JbzkdCdPP&fccid=c2420cdb8142e98a&vjs=3
Social Media Manager,Vicarious,"VicariousSeattle, WA",Not listed,Freelance,Not listed,https://www.indeed.com/rc/clk?jk=e99001b25f727c63&bb=dEP6YqtiHuzSBbMT3JHagzHEvZ_onrSCS0CEpWBptBzJV1cdHeBlG7jGRrgi59h7cxWMGVTac_OKI-OXkyGnRXaTdK-Voukm_Z6aEZSPizI%3D&xkcb=SoD967M3E7y8tTRNCZ0IbzkdCdPP&fccid=df9fefa1627b6c86&vjs=3
Social Media Specialist,WinSummit,"WinSummitNew York, NY",Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=bf786bb51cdaeffb&bb=dEP6YqtiHuzSBbMT3JHag2Z6O1BkGi7JTEn7dcqaPE4hEDlJVN32aSqDUcypJAi_AaQ7E0TID4ZVuraFM3cNGJKDvha7L7X9a336oYD64fw%3D&xkcb=SoBz67M3E7y8tTRNCZ0PbzkdCdPP&fccid=1e2bba9baf726812&vjs=3
Media Operations Coordinator,TikTok,"TikTokLos Angeles, CA",Not listed,"$67,724 - $97,111 a year",Not listed,https://www.indeed.com/rc/clk?jk=cc3769e66b4a4100&bb=dEP6YqtiHuzSBbMT3JHag2HZJGx13H44cTmfPAYBTAFuZ4EyYikIijmcW7AqdkM820qKGhF2_GlDkL8uf5wAndZbyJkJGNV3TO85o5sV3hY%3D&xkcb=SoDH67M3E7y8tTRNCZ0ObzkdCdPP&fccid=caed318a9335aac0&vjs=3
Social Media and Content Manager,Paint 'N Pour,"Paint 'N PourNew York, NY 10002 (Lower East Side area)Bowery",Not listed,"$55,000 - $75,000 a year",Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BI-fsJebi7s3RYmhdf-gQVK4-R6vb6rP_qTVPbOj4lqYZdoseSoZfgxTXNmYtuOPdy-0BbMhK-y7mAQQ2aTwXqycD13do-XkLjC6uI5fv7seToqL9QQcnl1-eNv2Xp1YPArOmZM9y6NrvFw0rj3AQb4IixBONbqTmJS6k-nJRpSlLHWy41mqpPsbbf8X7g31Kd7kc0EA1JHFQK-At6BuRFOveLIkvNEI18gJJ83DxE6wy0RoIQ49FYf0lQH_XTzvFkPBeHZu58U_A6K4SJpUKWWGYIswZ8LDf8agjI5HbRZHmBf8B2437TFIc_tLTwCZLV38nnX9klsne82aU0X8hruecLDvXqGijrBk5F1dZ3oPeJKGhFhoOK7kXtPf_y2g8yhMqYtpivrm4W9iKFhV_ZUQwq0jrkvBr1MLcntKldV9VO3Mm7fa7F3C5lUCcFqzHxbzXpPqfU37qo344MoWwDUbxIRvabN46wTVwXqzvGS3atRYSttSgb0IuvbPNxCi2uxF8DjTUntFDtUqnK3abl9GQK9Wr6-Ggeg7OLXKbUZAaBgkn4WTmnsvGNmL1cykUyQ27zsKdQwFw-YSO1THWWADgzNMleFHFQLAz8JuYa7W7olxQjQJ02&xkcb=SoCu6_M3E7y8tTRNCZ0NbzkdCdPP&camk=4HOcmqOLYrAZ40hvm0QZjg==&p=6&fvj=1&vjs=3
Senior Account Manager (Digital Media),Hybrid,"HybridPhiladelphia, PA 19103 (Rittenhouse area)Suburban Station",Not listed,Full-time,Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGkPfho3FH5Mvw09U8BMLP-ydSD8skpbwhLvdpoKO8jA2SKGFCLWjaUAiEfhj_hU5U4O_vHyi2vmCmqICsnhFNqQUwaRiqwHkd_n9BtqetLEVIj8lWS0KjqKquAPJ6Xg0TgNxEpEgGta_lBQKGnFGlLdWhUwlWn-vR5fhAKOrlbGZdj-k3-o_9Xj25revFCsWvUouzOEa0Qzstj2dQz6M3LCG7o2ZRvwDtW_rqcF43cUXx2XgE9bzYXdxOjBN5As6Ixo8bI2b0DtDzKBjtG1FN9aGxPAS-Bkk6kJRdmQWg8Q-WI5HGMx-axt8qoMgk79rmOoF6CYtAtG-LwLY9NCz1w761v7JiEEfAhIToa4-xz6HPpFAnYf_RjXE-bM7Gyx7LbbfMh9cHpeZIPKmbqtaUwt2tmYq_uexM0UrEtKqbK2unDkYDGy53NukygFpVvyNV0qLD74uy1aetnUpMrmukmqAekvMnRJwPXpsvZ7BJPoYrHHsdJ8pPjXg2CewShjezWMUW89CB5bnUUCeZCXWvPef3DxfiOFBv1X9sofHmSvQl24qvOUF7UGW0v6iynMkwung2kIGtjDSiVvtnTKxD4Nz7mwZMGchSI_l4-N9AAhw__w4CuCdyV0b8oXPFOcA=&xkcb=SoAa6_M3E7y8tTRNCZ0MbzkdCdPP&camk=4HOcmqOLYrBTQ10giJGURw==&p=7&fvj=1&vjs=3
Wi-Fi Developer (Media Access Control),rachelg@tpstalent.com,"rachelg@tpstalent.comSanta Clara, CA",Not listed,"$150,000 - $180,000 a year",Not listed,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dz--WBOoJe_2oD2hp1y0Zl-hwW1_8Ksdt7hX9YbkPSl0Pmg1NBStNaEbzKDzU7awVaktb_iqW5eseETi8Zs9cwhZoTJS9UpbW3gv3jElY2Tk3nEi2GTkQiwzulLvjb_RoESOrB1LoTs7lXQhn62K7ov2s5OvD8QQNlo9EF8FIbmgwOz6St8z2Mv7kU7dMsX7MlWYlxJmFnFSUv65Jp9OHvnldKhKV291ZzdGt73B2KXfZ0qFqF-VvC7HWiM54qP0ZqNn47G2-pkGSZNKaAUIHJ1aNZOc3_zpFr2ZuUDtsQ4Nnu7zyod-pl7rXxxPKJhJHYWI0Q3sBjJa0nUhfvujhYTkEZcEVH0_JvtQmRGJ_xVqjRvRLoJbX1OYSSLprqSLDXn_VlEaVGuhv0wA0RmvX61m5I9fFwUp_9gacrOUazum5T0FW4r4D9JRytvFYWsuwKt879rOTS4gLFiVsiB_2yOOvvHwGawt2u491IZQxbK8pQICjiky9Nm2NtGk5iUig6yZy4v3ib0oZosgaMrNEdAI3K8EQynQ32Hz6Ro2n77cvDQSpUWg0PxonrhpLwbhn6y7RP1ST3vCQqW3WMFujfhYV__V9l3yAjIKY6l5IRz9Ukmy1W5aem9eSNLkjoFNM=&xkcb=SoDz6_M3E7y8tTRNCZ0DbzkdCdPP&camk=4HOcmqOLYrBjiQKq3m65Mg==&p=8&fvj=1&vjs=3
Jr. Paid Media Strategist,Today's Business LLC,Today's Business LLCRemote,Not listed,Not listed,Not listed,https://www.indeed.com/rc/clk?jk=4e9a39401f4fbfdd&bb=dEP6YqtiHuzSBbMT3JHag_FIociMhoEGy1nbz6oyI9Zsp12dsTSNUBIfdzkgpzpSDn9dHr9xcJjfygZV04Hr-qOHwxxMOw5qejwsIqcK6_k%3D&xkcb=SoCz67M3E7y8tTRNCZ0CbzkdCdPP&fccid=90647c435d22e8c8&vjs=3
MEDIA ASSISTANT,Brevard Public Schools,"Brevard Public SchoolsTitusville, FL 32796",Not listed,$16.40 an hour,Not listed,https://www.indeed.com/rc/clk?jk=b43bab51694e2b30&bb=dEP6YqtiHuzSBbMT3JHag5eaOTpNiOg14m5JQUWRcvR3MPkfdAIKTYNDDhHZmkviWkQHnDmM9JLACsNIUC7JvQ8huJ2KRdjRbCMDCpYnA18%3D&xkcb=SoAu67M3E7y8tTRNCZ0BbzkdCdPP&fccid=529e305cd8198922&vjs=3
"Specialist, Shoppable Media",Ampush,AmpushRemote,Not listed,"$60,000 - $75,000 a year",Not listed,https://www.indeed.com/rc/clk?jk=a3a4d9f5d47167e7&bb=dEP6YqtiHuzSBbMT3JHag7BJzDKEpK9Aq_BUiSwEFSjLKS9lIM8wZekegAa5Nef5c3oDoWR8bfswi-uFAdsHNM9g_dKjfm86t0AJiGXJ044%3D&xkcb=SoCa67M3E7y8tTRNCZ0AbzkdCdPP&fccid=85a30f5d38bbedbe&vjs=3
"Assistant, Global Paid Media & Analytics",Lionsgate,"LionsgateSanta Monica, CA 90404",Not listed,"$43,000 - $45,000 a year",Not listed,https://www.indeed.com/rc/clk?jk=df6b22fe2c5d6f1a&bb=dEP6YqtiHuzSBbMT3JHag2RZHO2GSYLET6k4bLKb0wrJ_HrBBj-IQRAZ-0X5YdCj81_-Qp_fetuAR-BFV4umdSwW67Xao4Nai9QAnyZJd4s%3D&xkcb=SoAU67M3E7y8tTRNCZ0HbzkdCdPP&fccid=f0d2e8df1e620706&vjs=3
